"player","reason","date","team"
Jonas Jerebko,torn achilles,"2010-10-06",Pistons
Jeff Ayres,torn acl,"2010-10-08",Blazers
Kendrick Perkins,torn acl,"2010-10-26",Celtics
Michael Redd,torn acl,"2010-10-27",Bucks
Mehmet Okur,torn achilles,"2010-10-27",Jazz
Josh Howard,torn acl,"2010-10-28",Wizards
DeSagana Diop,torn achilles,"2011-01-03",Bobcats
Gani Lawal,torn acl,"2011-01-06",Suns
David West,torn acl,"2011-03-25",Hornets
Darrell Arthur,torn achilles,"2011-12-20",Grizzlies
Eric Maynor,torn acl,"2012-01-08",Thunder
Chauncey Billups,torn achilles,"2012-02-07",Clippers
Ricky Rubio,torn acl,"2022-01-02",Cavaliers
Ricky Rubio,torn acl,"2012-03-09",Timberwolves
Derrick Rose,torn acl,"2012-04-28",Bulls
Iman Shumpert,torn acl,"2012-04-28",Knicks
Baron Davis,torn acl,"2012-05-06",Knicks
Elliot Williams,torn achilles,"2012-09-11",Blazers
Brandon Rush,torn acl,"2012-11-03",Warriors
Lou Williams,torn acl,"2013-01-19",Hawks
Rajon Rondo,torn acl,"2013-01-27",Celtics
Leandro Barbosa,torn acl,"2013-02-12",Celtics
Zaza Pachulia,torn achilles,"2013-04-03",Hawks
Danilo Gallinari,torn acl,"2022-10-18",Boston Celtics
Danilo Gallinari,torn acl,"2013-04-05",Nuggets
Kobe Bryant,torn achilles,"2013-04-12",Lakers
Marvin Williams,torn achilles,"2013-05-31",Jazz
Jeff Taylor ,torn achilles,"2013-12-21",Bobcats
Nate Robinson,torn acl,"2014-01-31",Nuggets
J.J. Hickson,torn acl,"2014-03-22",Nuggets
Pierre Jackson,torn achilles,"2014-07-05","76ers"
Xavier Henry,torn achilles,"2014-11-24",Lakers
Jabari Parker,torn acl,"2017-10-18",Bucks
Jabari Parker,torn acl,"2014-12-16",Bucks
Anderson Varejao,torn achilles,"2014-12-26",Cavaliers
Kendall Marshall,torn acl,"2015-01-17",Bucks
Tony Wroten Jr.,torn acl,"2015-01-23","76ers"
Brandon Jennings,torn achilles,"2015-01-24",Pistons
Wes Matthews Jr.,torn achilles,"2015-03-06",Blazers
Nikola Pekovic,torn achilles,"2015-04-08",Timberwolves
Dante Exum,torn acl,"2015-08-06",Jazz
Jarrett Jack,torn acl,"2016-01-03",Nets
Mario Chalmers,torn achilles,"2016-03-09",Grizzlies
Chris Andersen,torn acl,"2016-12-16",Cavaliers
Rudy Gay,torn achilles,"2017-01-18",Kings
Zach LaVine,torn acl,"2017-02-03",Timberwolves
Brandon Knight,torn acl,"2017-07-25",Suns
O.G. Anunoby,torn acl,"2017-09-18",Raptors
Sheldon Mac,torn achilles,"2017-10-09",Wizards
DeMarcus Cousins,torn achilles,"2018-01-26",Pelicans
Kristaps Porzingis,torn acl,"2018-02-06",Knicks
C.J. Wilcox,torn achilles,"2018-09-21",Pacers
Dejounte Murray,torn acl,"2018-10-17",Spurs
John Wall ,torn achilles,"2018-12-28",Wizards
Jose Barea ,torn achilles,"2019-01-12",Mavericks
Kevin Durant,torn achilles,"2019-06-12",Warriors
Klay Thompson,torn acl,"2019-06-14",Warriors
Darius Miller,torn achilles,"2019-10-21",Pelicans
DeMarcus Cousins,torn acl,"2019-10-22",Lakers
Rodney Hood,torn achilles,"2019-12-07",Blazers
David Nwaba,torn achilles,"2019-12-20",Nets
Max Strus,torn acl,"2019-12-23",Bulls
Dwight Powell,torn achilles,"2020-01-22",Mavericks
Jeremy Lamb,torn acl,"2020-02-24",Pacers
Jonathan Isaac,torn acl,"2020-08-02",Magic
Dario Saric,torn acl,"2021-10-20",Phoenix Suns
P.J. Dozier,torn acl,"2021-11-26",Nuggets
Kira Lewis Jr.,torn acl,"2021-12-12",Pelicans
Joe Ingles,torn acl,"2022-02-12",Trail Blazers
DeAndre' Bembry,torn acl,"2022-03-19",Milwaukee Bucks
E.J. Liddell,torn acl,"2022-10-19",Pelicans
Brandon Clarke,torn achilles,"2023-03-05",Grizzlies
Justin Lewis,torn acl,"2023-03-08",Bulls
Jaylen Clark,torn achilles,"2023-10-25",Timberwolves
Dru Smith,torn acl,"2023-11-25",Miami Heat
Charles Bassey,torn acl,"2023-12-13",Spurs
Saddiq Bey,torn acl,"2024-03-13",Hawks
Tyrese Haliburton,torn achilles,"2025-06-23",Pacers
Jayson Tatum,torn achilles,"2025-05-12",Celtics
Dejounte Murray,torn achilles,"2025-01-31",New Orleans Pelicans
Damian Lillard,torn achilles,"2025-04-27",Bucks
Isaiah Jackson,torn achilles,"2024-11-01",Pacers
James Wiseman,torn achilles,"2024-10-23",Pacers
Dru Smith,torn achilles,"2024-12-23",Miami Heat
Kyrie Irving,torn achilles,"2025-03-03",Mavericks
Grant Williams,torn acl ,"2024-11-23",Hornets
Anthony Melton,torn acl,"2024-11-20",Nets
Moritz Wagner,torn acl,"2024-12-21",Magic
Spencer Dinwiddie,torn acl,"2020-12-27",Nets
Markelle Fultz,torn acl,"2021-01-06",Magic
Thomas Bryant,torn acl,"2021-01-09",Wizards
Jamal Murray,torn acl,"2021-04-12",Nuggets
Kawhi Leonard,torn acl,"2021-07-13",Clippers
Dario Šarić,torn acl,"2021-07-06",Phoenix Suns
Klay Thompson,torn achilles,"2020-11-19",Warriors
Chris Clemons,torn achilles,"2021-12-15",Rockets
